_id,place_id,name,html_notes
186,65,accessibility,"Mobility car park - 100 yards
Mobility toilet near shop
The gardens have some gravel paths and the lakeside walk, woodland and vegetable garden are now surfaced with self-binding gravel which is suitable for wheelchairs but can be uneven in places.
Full access statement is below, but please note that some parts of this property may be closed on your visit"
187,66,general,
188,66,family,
189,66,accessibility,"Our access statement is below, please contact us directly for further information."
190,67,general,"Our car park is open from dawn until dusk. Please follow social distancing measures
Dogs must be on leads
Car park: pay and display ticket machine, OS SO832086, Coordinates 51.7758140000, -2.2448980000"
191,67,family,
192,67,accessibility,"The estate is located on the Cotswold escarpment so the terrain is a mix of exposed hilltops and steep slopes
Most of the site is undulating
There are good woodland tracks with waymarking throughout the woods
The open grasslands have free draining soils, so they're good to walk on even in the wettest of weathers"
193,68,general,"Dogs on leads welcome in the garden and tea-garden
Garden kiosk open for light refreshments, 10.30-4.
There are electric vehicle charging points available in the main car park
Face coverings are recommended in crowded areas
Please note that pushchairs are not allowed inside the house and need to be left outside or in your vehicle. "
194,68,family,"Baby-changing facilities on first floor
Pushchairs can't enter the house, please leave them outside the hall or return them to the car"
195,68,accessibility,"Garden fully accessible on gravel, grass and flagstone paths. Some one-way systems are in place. 
Limited mobility parking.
Access from car park to property via sloped bridge.
Baby changing available on first floor
Pushchairs can't enter the house, please leave them outside the hall or return them to the car
Full access statement is below, but please note that some areas of this property may be closed on your visit."
196,69,general,"Government guidelines around coronavirus are regularly reviewed at short notice. Please bear with us while we work through these changes, and how it might affect your visit."
197,69,family,
198,69,accessibility,"Government guidelines around coronavirus are regularly reviewed at short notice. Please bear with us while we work through these changes, and how it might affect your visit."
199,70,general,"Seasonal ban of dogs on the beach, 1 July - 31 August, 10am-6pm 
If there are no RNLI flags on Porthcurno beach, there is no lifeguard service. Dates of lifeguard cover at Porthcurno can be found here: https://rnli.org/find-my-nearest/lifeguarded-beaches/porthcurno-beach
For safety in the sea at Porthcurno, always follow the advice given by the lifeguards when on duty and note any signs 
Parking in the pay and display Cornwall Council car park OS SW385225, cash required
Toilets are available next to the car park, open during the day and closed in the evenings
Risk of rockfall from the cliffs 
Pedn Vounder beach: this beach, in a cove just along the coast from the main beach at Porthcurno is extremely difficult to access with a challenging route down, sudden and unguarded steep drops and a near vertical climb down a rock face onto the beach itself. On the beach, there is risk of rockfall from the cliffs above, the possibility of getting cut off at high tide and it does not have any lifeguard cover. We strongly discourage access to this beach due to these dangers and suggest visitors use the main beach in its beautiful setting at Porthcurno 
Ponies grazing on Rospletha cliff over winter. Please don’t approach or feed ponies and keep dogs under control."
200,70,family,"Sandy beach perfect for a family day out
Be aware of cliff edges and supervise children on the coast paths "
201,70,accessibility,"Access down to beach either by steep steps or sandy slope with rope handrail. On occassion the steps to the beach can be closed due to the shifting sands causing an unsafe drop at the last step so we advise to use the sandy slope access.
Seasonal ban of dogs on the beach, 1 July - 31 August, 10am-6pm
Pedn Vounder beach: this beach, in a cove just along the coast from the main beach at Porthcurno is extremely difficult to access with a challenging route down, sudden and unguarded steep drops and a near vertical climb down a rock face onto the beach itself.  On the beach, there is risk of rockfall from the cliffs above, the possibility of getting cut off at high tide and it does not have any lifeguard cover.  We strongly discourage access to this beach due to these dangers and suggest visitors use the main beach in its beautiful setting at Porthcurno
Risk of rockfall from the cliffs"
202,71,general,"Bredon Barn is open. Please follow social distancing measures
Open access property. There are no visitor facilities
Dogs must be on leads
There is no parking available. Access to Bredon Barn is via foot or bicycle"
203,71,family,
204,71,accessibility,"Full access statement is below, but please note that some parts of this property may be closed on your visit."
205,72,general,"No parking is available at Lamb House, there are a number of car parks around Rye. 
The tea-room is closed. 
Toilets are located in the courtyard and on the ground floor.
Only assistance dogs are allowed at Lamb House. "
206,72,family,
207,72,accessibility,"Three steps to entrance of building. Ground floor has steps, small rooms. Two flights of stairs to first floor.
Partly accessible grounds, some steps, uneven, narrow and loose gravel paths
Only assistance dogs are allowed at Lamb House."
208,73,general,"Free parking for National Trust members with valid cards and Blue Badge holders. Otherwise charges apply
Toilets open daily
Dogs welcome under control on Holywell beach all year
No overnight parking or camping
Ice cream and refreshments for sale available on the beach
Café (not National Trust) at Cubert 
Small shop and post office (not National Trust) at Cubert
Flying of drones and metal detecting is not allowed on National Trust land"
209,73,family,"There are baby changing facilities in the disabled toilet
For safety in the sea, always follow the advice given by the lifeguards on duty and note any signs
Be aware of cliff edges and supervise children on the coast paths"
210,73,accessibility,"Designated parking spaces at Holywell car park
Accessible toilet available all year
Well maintained coastal paths, which may be uneven in places, with kissing gates
Generally a flat, but uneven walk to the beaches
Sections of footpath may be muddy at times especially in winter"
211,75,general,"Free parking at Nose's Point car park, Seaham, SR7 7PS (not National Trust).
Free parking at Easington Colliery car park, SR8 3QW or Fox Holes Dene, SR8 3RJ (not National Trust).
Free parking near Horden at Lime Kiln Gill car park, SR8 4HN (not National Trust)
Please keep dogs on leads around livestock and be aware of cliff edges.
In the event of adverse weather conditions e.g. snow and ice, please take extra care. Be aware, woodlands may become hazardous in high winds."
212,75,family,
213,75,accessibility,"Wheelchair accessible paths available from Easington Colliery, Fox Holes Dene and Lime Kiln Gill car parks.
Other areas have diverse terrain; cliff top paths, uneven surfaces and steep gradients in places."
214,74,general,"The car parks have Pay and Display for visitors and card scanning facilities for members. Pay by Phone has also been enabled.
The car park gate closes at 5pm and will open again at 8am.
Toilet facilities are now closed until April 2022. There are no toilet facilities at the Keel Point car park.
There is a network of paths through the dunes, woodland and heath. Look out for information panels at the entrances to the reserve and along the main boardwalk to find out more about the wildlife and history of Murlough.
Self guided nature trails are available; please follow the yellow and green topped posts.
The ring reserve is closed during ground nesting bird season - March - September."
215,74,family,"Some picnic tables are available across the reserve. Picnics are welcome but please dispose of your rubbish or bring it home with you. No BBQs.
The play area in the main car park is now open.
Downloadable nature trail quizes available on our website.
Tracker packs are currently not available."
216,74,accessibility,"Check our opening times for updates on facility and car park opening times.
There are some disabled parking spaces in the main visitor car park adjacent to the start of the boardwalk which leads to the beach. The boardwalk is wheelchair friendly but the walk itself (for those without a wheelchair) is a good 15 minute walk to the beach. There is no parking or car access to the beach except by National Trust staff or emergency services.
Surfaces and gradients are naturally varied; the car park has a grass surface, the boardwalk is not classed an all ability trail as there are a few steeper sections across the dunes before you reach the beach.
Dogs on leads are welcome to most parts of the reserve, there are restrictions in some areas in spring and summer when ground-nesting birds are breeding or cattle are grazing. Please abide by local signs and help us to keep the area special by clearing up after your dog.
For conservation reasons, horses are not permitted on the Nature Reserve."
217,76,general," Information boards located at the car parks
 Benches at frequent places on the commons 
 Please keep dogs on leads while birds are nesting (March - September)
 Dog waste bins are provided in all car parks for dog walkers to use
Witley Common car park - Members park free. Paybyphone, area code: 803456 (0330 060 4037)
No toilets
Meeting rooms are available to hire at the Witley Centre"
218,76,family,"Great open spaces for family enjoyment - picnics and walking
Guided walks and events for families and children
Have fun on the Wild About Witley natural play trail"
219,76,accessibility," Many paths are smooth and fairly level
 Benches on the commons
 Accessible parking
 Easy access by public transport"
220,77,general,"Free parking - in orchard, 150 yards. Additional free parking (not National Trust) in Wrekin Road car park.
Toilets, baby change.
Please note there is no tearoom or shop at Sunnycroft. 
When open: well-behaved dogs on leads are welcome to visit the garden at Sunnycroft with their owners. The garden at Sunnycroft is only around five acres in size, and as such is more of a place for your dog to accompany you on a visit than as a place for dog walking. "
221,77,family,"Baby changing facility. 
Children must be supervised at all times."
222,77,accessibility,"Separate mobility parking - 25 yards. Drop-off point.
Garden is all level access, combination of gravel, hard, and grass paths and large lawn and orchard. Accessible routes around grounds.
Access to house via steps on entry and exit.
Full access statement is below, please note some parts of this property may be closed on your visit.
Volunteer guides on hand to direct and give information."
223,79,general,"Our car park is open and free for National Trust members or £2 for 3 hours and £4 for all day. Please note that our car park is small so spaces are limited. Spaces are not suitable for large motorhomes or trailers
The toilets are open and are accessible from the cafe courtyard. To avoid steps, continue down the hill past the cafe and turn right through a white picket gate. Follow the path to the toilet courtyard on your right
Home Farm Cafe is open 10am - 5pm daily (10am - 4pm during winter), serving lunch until 3pm. Dinner is served Friday and Saturday nights, booking is essential. Please contact the cafe on 01626 830016 or visit homefarmcafe.co.uk for more information
Dogs are welcome but please keep under control
Horse riding is permitted in some areas. Please contact us for further information
Fishing rights are held locally."
224,79,family,"Baby changing facility in toilets, accessible from the steps in the cafe courtyard. To avoid steps, continue down the hill past the cafe and turn right through a white picket gate. Follow the path to the toilet courtyard on your right. "
225,79,accessibility,"There are two designated accessible spaces in the car park. Visitors can be dropped off outside the café. Two additional accessible spaces are available down the hill beyond the café
The estate features a variety of surfaces. There are several rough and uneven paths in the woodland area, with some steep gradients and boardwalks with steps
Along the river there are some rocks and tree roots to watch out for, which can be particularly muddy after wet weather
There are benches at various view points around the estate
An all-terrain mobility vehicle is available for hire to use on a few routes around Parke. This Tramper is part of the Countryside Mobility Scheme and training is provided. Advance booking only - please email parke@nationaltrust.org.uk. It is inadvisable to use private mobility scooters on the wider estate.
An accessible toilet is available near the cafe courtyard. To avoid steps, continue down the hill past the cafe and turn right through a white picket gate. Follow the path to the toilet courtyard on your right."
226,81,accessibility,The first floor is reached by a circular stone staircase which is unsuitable for visitors with disabilities
227,78,general,"Car park
No buildings open to public
No toilet on site"
228,78,accessibility,"Car park has a stoney surface
Limited flat ground. Hawksmoor is part of a steep valley with unsurfaced or rough paths and tracks
Can be enjoyed for a very short walk by all but the terrain is rough and many paths become steep close to the car park"
229,82,general,"Booking is not required to visit Ashridge Estate
The Visitor Centre and shop are open daily between 10am and 5pm
Toilets are open daily between 10am and 5pm
The safety of our visitors, volunteers and staff remains our top priority. In England, wearing a face covering is a personal choice, although they are recommended in crowded and enclosed places.
You can picnic on the estate, though not in some sensitive areas. Please help us to look after these areas by taking your litter home with you
Dogs are welcome, but must be kept under close control at all times to avoid worrying wildlife. Please take any dog mess home with you
BBQ's are only permitted on Monument Drive and need to be raised off the ground to prevent fires. Disposable BBQs are not allowed
There are 200mm high speed bumps on our driveway and occasionally also pot holes. Please drive with great care and never at more than 10mph
There are many unfenced ponds on the estate, some of which are difficult to see because of plant overgrowth. Please supervise children closely and keep dogs on leads at all times
Some plants on the estate are poisonous. If you ingest any, please go to A&E or call 111 if not seriously ill
Drone flying is prohibited on the estate"
230,82,family,"Baby-changing facilities at the visitor centre
Two routes starting near the visitor centre are accessible to pushchairs, including a circuit around the meadow and a woodland walk"
231,82,accessibility,"Accessible parking - twelve accessible parking spaces, 50yds from the visitor centre
All-ability trails - three accessible routes starting near the visitor centre
Adapted toilet available - please note this facility is only open during opening hours, there is no radar key access
Pathways - smooth and flat tracks, to rougher routes and sloping natural terrain. Many routes can be slippery and muddy after wet weather
PMVs - our single-seater scooters and one two-seater golf buggies are available to borrow Mon-Sun, 12-4pm (last departure 3pm).Vehicles can be collected from just outside the Visitor Centre and can be borrowed for up to an hour, weather permitting. There is no charge, but we rely on donations to keep this service running. We advise booking in advance, please call the Visitor Centre on 01442 851227 to book a slot.
Visitor centre - main entrance, exhibition room, study base and gift shop are all easily accessible on one level"
232,83,general,"Please follow social distancing measures
Information panel about some of Pilsdon Pen's history and wildlife
No toilets on site
Dogs welcome on leads
Car parks: Lay-by at bottom of fort: Not NT, OS SY414009"
233,83,family,
234,83,accessibility,"Steep climb to the top from the lay-by. On and around the fort there are some steps and steep inclines
Grassy, well maintained paths"
235,84,general,"The parkland, gardens & toilets are open to enable daily for visitors to enjoy
Our shop and plant sales area are open daily from 11am
The house is open from11am. Entry is via a queuing system (not timed tickets), simply join the queue when you wish to enter
The café and coffee shop are open daily with indoor and outdoor seating. Coffee kiosk in grounds, weather permitting
Squirrels Corner play area is currently closed.
Main car park 200 yards from visitor reception.
Main toilets are located opposite the coffee shop, before visitor reception, and have accessible toilets and baby change facilities.
Dogs welcome on leads on the estate & pleasure grounds, but not the formal gardens
Assistance dogs only in the mansion, cafe and shop (when open) and formal gardens. 
Cycle racks are available outside our coffee shop. We ask you not to cycle in the gardens.
The main drive has granite sett speed humps, the last of which is slightly higher than the rest at a maximum height of 200mm. Low-slung vehicles or caravans with a low step attachment may wish to come in another vehicle or seek alternative parking."
236,84,family,"Baby change facilities are available in the main toilet block, opposite the Coffee Shop.
Our natural play area in the grounds is currently closed.
Kids' scooters and bikes can be used in the pleasure grounds - just be careful on the sloped pathways and on busier days.
Unfortunately, we are not able allow pushchairs into our mansion, however there are hip carriers available to use."
237,84,accessibility,"Mobility parking 150 yards from visitor facilities, 200 yards from visitor reception; Blue Badge and disabled spaces available
Drop off point 100 yards from visitor facilities
Accessible toilets in main toilet block opposite coffee shop and by the main café
Grounds are partly accessible; loose gravel paths, steps and some uneven terrain. Some visitors may require assistance from their companion
Our courtesy shuttle service is available between visitor reception and the house.
Our mobility scooters and wheelchairs are now available to book. Please call our main number or email us 48 hours in advance of your visit to book."
238,85,general,"You don’t need to book your visit in advance. Visitor numbers in the house are limited; entry to the house is not guaranteed on the day you visit.
Our café  is open and serving a range of hot and cold drinks, sandwiches and light lunches. Card payments are preferred. Go to Eating and shopping for more information.
Dogs welcome on leads in the parkland, woodlands and wider estate, but are not permitted in the formal garden. Assistance dogs are welcome in all areas. 
NT car park at Badbury Rings open. Additional charges apply for non-members.
Dogs welcome at Badbury Rings, Holt Heath, Eye Bridge and Pamphill Green. Please keep under control on a short lead near livestock."
239,85,family,"Baby-changing facilities are available in the ladies' and men's toilets
Children should be supervised at all times"
240,85,accessibility,Mobility vehicles/wheelchairs are available to book. Please call 01202 843752 and we’ll arrange for one to be available upon your arrival.
241,86,general,"Face coverings are recommended in enclosed, crowded areas
Please note that some areas of the building may be closed on your visit
Our tea rooms are open and are serving hot and cold meals and drinks, sandwiches and light snacks
You're welcome to take photos in the house (no flash or tripods please)
Assistance dogs only in the hall and garden. Dogs are welcome on leads on the front lawn and in the car park."
242,86,family,"Baby-changing facilities
Front-carrying baby sling and hip-carrying infant seats for loan
Pushchairs cannot be taken into the hall or the tea-rooms"
243,86,accessibility,"Designated mobility parking in main car park
Braille guide
Induction loop in ticket office
Accessible toilet available at the welcome building
Please note that powered mobility vehicles and motorised wheelchairs are not currently able to enter the historic Hall building
Manual wheelchairs available to borrow from the Welcome Centre
Virtual tour of the upper floors 
Steep spiral staircase to upstairs and cobbled courtyard "
244,88,general," OS grid reference: Hembury SX730680; Holne SX713707
 Car park at Hembury (SX729680)
 Car park at Holne just before New Bridge on Ashburton side of river
 Picnic area at Hembury
 Dogs welcome under control; ground nesting birds in spring and summer"
245,87,general,"No onsite parking. Car parks in town centre (not National Trust)
Award-winning Farmers' Bar run by local Chiltern Brewery
Groups welcome - please contact us before you visit
Toilet"
246,87,family,"Special events
Baby-changing facilities
Pushchairs and baby back-carriers admitted"
247,87,accessibility,"Accessible toilet in courtyard stables
Grounds are partly accessible, some cobbles, uneven paths
 Some visitors may require assistance from their companion"
248,89,general,"The garden and Café are open Tuesday-Saturday.
The whole house is open on Tuesday - Saturday for guided tours, with limited timed tickets allocated on arrival from No.14 (directly opposite Greyfriars).
The Old Oak Café is open 10am - 4pm. Indoor seating can be found in the Hall and outdoor seating is located on the terrace.
Dogs on leads are welcome on the terrace. 
Information and the Second-hand Bookshop located opposite the house at 14 Friar Street, open 10.30am - 4pm. 
Toilets can be found near the terrace. "
249,89,family,Children's lunches available to buy from the Old Oak Café. 
250,89,accessibility,"Full access statement is below, but please note that some parts of this property may be closed on your visit.
Greyfriars has cobbles leading through the gateway. Steps into the House and Cafe and steps down to the garden. No.14 the reception and bookshop, has a step down into the building.
No accessible toilet facilities available onsite. 
No onsite parking. Car parks at Cornmarket and St Martin's Gate (pay & display)
Wheelchair access is limited to the ground floor of the house only."
251,90,general,"Picnic area with benches in Steers Field, accessed by a gate from Denbies Hillside car park
Benches along the Denbies Hillside trail and also on Ranmore Common
Information boards located at Denbies Hillside and Ranmore Common car parks
Dogs are welcome. Please keep them on leads when livestock are grazing
Dog waste bins and bags are provided just outside the Denbies Hillside car park for dog walkers to use
Denbies car park: Members: please scan your card for your free ticket. Pay and display £1.50 per hour (first 2 hours); £4 for part day (3-4 hours); £6 full day (5+ hours). Paybyphone - area code 803454 (0330 060 4037) - £1.50 per hour for first 2 hours; £4 for up-to 4 hours; £6 for 5 hours and above."
252,90,family,"Great open spaces for family enjoyment - games, kite flying
Lovely spots for a picnic
Guided walks and events suitable for families and children throughout the year
Guided walks with a ranger are available for school and community groups"
253,90,accessibility,"Level parking at Denbies Hillside and Ranmore West car parks. There are no designated accessible spaces
Benches along Denbies Hillside trail and on Ranmore Common
Well maintained, but naturally uneven paths which may become muddy and slippery after wet weather
There are steep ascents and descents at some of our sites, with several stiles and gates"
254,91,general,"Dogs (on short leads) are welcome in the garden and wider estate.
Assistance dogs are welcome in all areas.
Picnic rugs are welcome in grounds however, we ask visitors not to bring their own chairs or tables to help preserve the lawns."
255,91,family,Baby-changing facilities available next to visitor reception.
256,91,accessibility,"Designated accessible parking near visitor reception. The surface is tarmacked.
Partly accessible grounds with some steps and brick paths. Map with accessible route available from visitor reception. 
Accessible toilet at visitor reception.
Wheelchair available to borrow from visitor reception.
At busier times, to enter the house there may occasionally be a queue outdoors in the garden."
257,92,general,"The gardens, estate, second hand bookshop and ground floor rooms of the hall are open
Four rooms are open on the ground floor of the hall.
We're sorry but the shop is currently closed
The Pantry Café is open.
One half of the tea-room is currently closed whilst beams in the floors above are repaired. One room is open offering a limited menu, outdoor seating is available.
Free parking including blue badge spaces. Last entry to car park is 4.30pm, car park locked at 5pm
Toilets are available including the accessible toilet
Dogs are welcome on a short lead in the gardens, parkland, bookshop and tea room. Assistance dogs only in the hall
Please note, drones are not permitted on the property"
258,92,family,"Baby-changing facilities are available in the garden toilets
Childrens' menu items are available.
Natural play and den building area located in Home Covert
No ball games or kite flying in the formal gardens please. You're welcome to take advantage of open spaces in the parkland for these activities
Due to narrow paths and unsuitable surfaces, no pedal bikes in the gardens or parkland
Toddler balance bikes are permitted under close supervision from an adult
Please be aware of deep water in the moat and river"
259,92,accessibility,"Disabled parking is in the main car park, 200 yards from the entrance
Parking drop-off area
Manual wheelchairs are available to borrow from the Welcome Team on arrival
Hearing induction loop available
Garden route is accessible but with some gravel pathways and two steep slopes. Parkland route along rough unpaved tracks not accessible
House route is through 4 rooms on the ground floor only and is wheelchair accessible although some doorways are narrow and are not suitable for PMVS
Assistance dogs are welcome throughout Oxburgh, including inside the hall
Partly accessible grounds, grass and loose gravel paths, slopes. Map of accessible route available. Care necessary near moat
Full access statement is below, but please note that some parts of this property may be closed on your visit"
260,93,general,"Grounds open daily. Visitors should only park in designated car parking areas. Accessible parking is adjacent to Derrymore House.
We encourage everyone to observe social distancing measures.
Toilet facilities available onsite adjacent to Derrymore House.
Dogs (on leads) welcome on the estate.
Public and visitors are not permitted to fly drones on, from or across Trust land."
261,93,family,"Grounds open daily. Visitors should only park in designated car parking areas. Accessible parking is adjacent to Derrymore House.
We encourage everyone to observe social distancing measures.
Toilet facilities available onsite adjacent to Derrymore House.
Dogs (on leads) welcome on the estate.
Playpark available for families to enjoy daily."
262,93,accessibility,"Grounds open daily. Visitors should only park in designated car parking areas. Accessible parking is adjacent to Derrymore House.
We encourage everyone to observe social distancing measures.
Coaches should contact Derrymore@nationaltrust.org.uk to be advised on entry/exit from the parkland."
263,94,general,"Free parking in the village hall car park (80 yards to entrance). Additional parking at the Glove Factory Studio. No visitor parking on village streets
Toilets are open.
Assistance dogs only.
Takeaway hot and cold drinks, wrapped cakes and snacks are available.
Picnics are welcome in the Arboretum, where benches have been set out. Rugs are available to borrow at reception. Please take your litter home with you."
264,94,family,"Pushchairs and baby back-carriers admitted
Baby change available
Sorry no ball games or ride on toys"
265,94,accessibility,"Mobility drop-off point
Grounds - mostly accessible, some steps, grass and uneven paths 
Assistance dogs welcome
Hearing loop available
There is one manual wheelchair available to hire. Please call ahead of your visit if you wish to make use of this (01225 782875). You are welcome to bring your own.
Full access statement is below, but please note that some parts of this property may be closed on your visit."
266,96,general,"Our pay and display car parks at Lanthwaite Wood car park and Buttermere village are open. Please follow social distancing measures.
We do not have toilet facilities.
Dogs are welcome, but please keep them on leads.
Part of Buttermere lakeshore route will be closed in bird nesting season.
National Trust staff based on Buttermere lakeshore except in winter months
Fishing permits available from 18 May"
267,96,family,Special Easter event every year
268,96,accessibility,"Access for all path on SW shore of Buttermere
Access for all path from Lanthwaite Wood car park to Crummock Water
Access for all path from Maggie's Bridge car park along Loweswater SW shore"
269,97,general,"Free parking for all visitors.
Dogs on leads are allowed on the grounds.
Speed limit: 15mph
Bikes will not be allowed on site. If you are cycling to the property, you will need to leave your bike in the car park."
270,97,family,"Baby-changing facilities
Please note that bikes and scooters are not permitted.
The walking routes are not hard standing and may not be suitable for all pushchairs."
271,97,accessibility,"Designated mobility parking, 20 yards from ticket office. 400 yards walk to the gardens and mansion. 
Visitor buggy from the stableyard to the mansion available. Please note the buggy depends on volunteer availability.
The entrance to the showrooms in the mansion is on the First Floor, an additional 22 steps from the Ground Floor on a stone staircase. 
Adapted toilets in the stableyard.
Partly accessible grounds, loose gravel paths, slopes, and cobbles. 
Some parts of the walking routes are currently very muddy, please wear suitable footwear. 
 Steep hill from car park to gardens
There are uneven pathways throughout gardens and parkland as well as gravel pathways, steps and tree roots. 
Full access statement is below, but please note that some parts of the property may be closed on your visit and some facilities may be unavailable."
272,95,general,Parking is located 150 yards from the house
273,95,family,Our toilet and baby-changing facilities are open during house opening times
274,95,accessibility,"Mobility drop-off point
Braille and large print guides available
External steps to entrance
Internal stairs in Hall"
275,99,general,"Free parking 200 metres from house
Tickets for tours need to be booked in advance
Toilet available only when the house is open to the public
House is tenanted and when open, access is limited to the entrance hall, staircase (100 steps) and roof 
When the house is open, group tours available but must be booked in advance on 01793 762209 (9-5 Mon - Fri)
Display of information and artefacts in visitor reception
Dogs welcome on leads in woodland"
276,99,family,
277,99,accessibility,"Mobility parking next to the house is available and can be booked in advance. Tel 01793 762209 (9am - 5pm, Monday to Friday)
Adapted toilet
Induction loop in reception and portable one for guided tours
Grounds accessible via tarmac, loose gravel and flat grassy paths
House not accessible to all as there are 9 steps up to the entrance and 100 steps on the guided staircase tour   "
278,98,general,"Dogs are welcome. Please keep them close and under control as there may be livestock grazing. Please pick up after them.
You are welcome to picnic at the Coombes.
Local shops and supermarkets can be found in Swindon
There are a number of public houses in the nearby villages serving lunch and dinner"
279,98,family,Child carrier backpacks are recommended rather than push chairs as the ground is uneven
280,98,accessibility,"The gravel car park is adjacent to the gateway into the site
Pathways and open space
The bridleway slopes along the valley side
The valley bottom is fairly level, though the tussocky grass is uneven"
281,100,general,"Free car parking facilities sited at Bramshaw, Rockford, Hale Purlieu and Hightown Commons. Not suitable for coaches
Cafes, shopping and information centre (not NT) located within Lyndhurst
Sorry, no public toilets on site. Facilities available at local pubs for patrons (not NT)
Limited number of outdoor benches located at each site
Dogs welcome. Dogs need to be kept on a lead or under close control during ground nesting bird season (March – July).  Livestock present - Take care, and keep your distance - Avoid getting between animals and their young - Please keep your dog on a short lead - If cattle or ponies approach please let your dog off the lead.
Camping is not permitted on any of our New Forest Commons.
If you are planning a large recreational event please contact us well in advance."
282,100,family,"Plenty of open space available for picnics
Parents with pushchairs can access the sites with relative ease
Gravel tracks and open grass land here make it good to walk any time of the year, though stout footwear recommended in winter months
Dogs welcome at all times. Please be mindful of ground nesting birds between March and July"
283,100,accessibility,"Cycling: there are no dedicated cycle routes on NT land, cyclists are encouraged to remain within way marked routes where possible: http://www.newforestnpa.gov.uk/info/20045/things_to_do/36/cycling
Many of our commons consist of unmade tracks and footpaths, which can get very wet during the winter, please ensure you have adequate footwear."
284,102,general,"Assistance dogs only in the garden, welcome in surrounding countryside.
Last entry 4pm.
Durgan gates locked at 4.30pm.
Car park locked at 5pm.
The main toilet facilities are open. 
The second-hand bookshop is open. 
The National Trust shop and plant sales are permanently closed.
Bee hives and honey bees in the orchard.
Durgan toilet is open but please use the main facilities at Glendurgan where possible. 
The Fish Cellar open subject to volunteer availability. Please call ahead to check."
285,102,family,"Baby-changing facilities
Pushchairs and baby back-carriers admitted
Pushchair friendly route available without steps however does include steep slopes due to geography of the site.
Gates to Durgan at the bottom of the garden are open for access to the beach. These gates lock at 4.30pm."
286,102,accessibility,"Induction loop in reception.
Pushchair friendly route available without steps however does include steep slopes due to geography of the site.
Dogs: assistance dogs only in the garden, welcome in surrounding countryside
Grounds: uneven and loose gravel paths, cobbled in sections, some steep slopes and steps. Sturdy footwear is recommended.
Mobility parking in main car park
The Tramper is available for hire 2.30 - 4.30pm pre-booking essential.
Adapted toilet in toilet block, accessed via a small ramp
Full access statement is below, but please note that some parts of this property may be closed on your visit"
287,101,general,"Toilet facilities
The main museum is currently closed for building repairs. There is a pop-up exhibition at Merchant’s House, 13 High Street, Launceston. Open Tue-Sat 10.30am-4pm"
288,101,family,"Baby-changing and feeding facilities
Pushchairs and baby back-carriers admitted
Children's quiz/trail"
289,101,accessibility,"Mobility toilet - on ground floor
Wheelchair access to building"
290,103,general,"Dogs are welcome though they must be on a lead on the reserve
Toilets available in high season"
291,103,family,
292,103,accessibility,"Sensory experience
On Cumbria Coastal Way
There is a new 39 space car park which includes 2 disabled parking bays and a further 2 minibus parking bays which are situated on the edge of the main car park. The car park is constructed of tarmac with gravelled stone bays. There is pay and display car park charging. Charges are only from 10.00am to 4.00pm. Charges are £1 per hour, £2.50 for 3 hours and £5 all day.
Access to the boardwalks is possible from the car park.
Height restriction barrier in the car park (Height is 2.1m).  If you would like to arrange access for minibuses for groups, please contact us giving as much notice as possible on 01229 462 855 or 01524 701 178"
293,104,general,"Dogs on the beach must be kept on leads (N.B Beach is not National Trust)
Information boards at Mill Bay and Gara Rock
Toilets are provided by South Hams District Council, please follow social distancing and government guidance"
294,104,family,Shallow waters at Mill Bay are ideal for young families
295,104,accessibility,"Easy access to Mill Bay (no steps) but once on the sand there are no paths/trails to the sea
Trails from Mill Bay are easy to moderate in terms of accessibility"
296,105,general,"Wray Castle car park is open.Pay & Display car parking (non Members) Up to 2hrs - £5.00. 2 - 4hrs - £7.50. 4hrs+ - £9.50.
The ground floor of Wray Castle is open. The upstairs rooms, including the Peter Rabbit Adventure rooms, remain closed for the foreseeable future. 
Due to damage caused by Storm Arwen, the play trail is closed until further notice. 
Joey's Cafe is open every day 10am - 4pm.
Outdoor toilets and baby change open.
Dogs (on leads) welcome in grounds and wider estate; assistance dogs only inside.
For group bookings and enquiries please email wraycastle@nationaltrust.org.uk "
297,105,family,"Due to damage caused by Storm Arwen, the play trail is closed until further notice. 
Informal grounds and lakeshore walks to enjoy
Baby change facilities in the outdoor toilet block"
298,105,accessibility,"Car park not suitable for any buses larger than 16 seater, caravans or motorhomes
Steady but constant slope up from the boathouse to the Castle"
299,107,general,"The Abbey is open 11am - 4:30pm everyday, there is no need to book but please collect an entry ticket from Visitor Welcome when you arrive.
We’re sorry but the higher paddock play area is currently closed.
Dogs on a lead welcome on estate walks and inside the Ox Yard cafe. Only Assistance dogs in the gardens.
Mobile phone signal is very poor across the estate. Some signal can be found in the visitor car park.
Toilets including accessible toilets are open."
300,107,family,"Baby-changing and feeding facilities plus parent and baby room
The play area is closed
Children must be supervised at all times"
301,107,accessibility,"Blue badge spaces available. Car park closes at 4.30pm. Car park 150 yards from Visitor Reception, sloping route
Adapted toilet next to main toilets
Abbey is on steep slopes with some uneven paths.
Wheelchair accessible path to gardens
Buggy service and tramper hire available.
Mobile signal is very poor across the estate. Some signal in the visitor car park.
Full access statement is below"
